Function,Encoding,Crossover,Population,Generations,Mutation_Rate,Crossover_Rate,Best_Fitness,Best_Solution,Seed
Ackley,binary,1-point,500,100,0.05,0.8,0.0013710084880824,"(0.00015259021896696368, 0.000457770656900891)",999518342
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, 0.00015259021896696368)",999521550
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, 0.00015259021896696368)",999525711
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",999529113
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, 0.00015259021896696368)",999532665
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, 0.00015259021896696368)",999536177
Ackley,binary,1-point,500,100,0.05,0.8,0.0013710084880824,"(0.00015259021896696368, 0.000457770656900891)",999540605
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, -0.00015259021896696368)",999544986
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, -0.00015259021896696368)",999549363
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, -0.00015259021896696368)",999555634
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, 0.00015259021896696368)",999561588
Ackley,binary,1-point,500,100,0.05,0.8,0.0013710084880824,"(0.00015259021896696368, -0.000457770656900891)",999567157
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",999580420
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, 0.00015259021896696368)",999586991
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, 0.00015259021896696368)",999592453
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",999598304
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, -0.00015259021896696368)",999604348
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",999610107
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, -0.00015259021896696368)",999618393
Ackley,binary,1-point,500,100,0.05,0.8,0.0013710084880824,"(-0.000457770656900891, 0.00015259021896696368)",999623949
Ackley,binary,1-point,500,100,0.05,0.8,0.0013710084880824,"(-0.000457770656900891, 0.00015259021896696368)",999630914
Ackley,binary,1-point,500,100,0.05,0.8,0.0013710084880824,"(-0.00015259021896696368, 0.000457770656900891)",999636262
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, -0.00015259021896696368)",999641680
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(0.00015259021896696368, -0.00015259021896696368)",999648033
Ackley,binary,1-point,500,100,0.05,0.8,0.0013710084880824,"(-0.000457770656900891, -0.00015259021896696368)",999653199
Ackley,binary,1-point,500,100,0.05,0.8,0.0013710084880824,"(-0.00015259021896696368, -0.000457770656900891)",999659391
Ackley,binary,1-point,500,100,0.05,0.8,0.0006116008933543,"(-0.00015259021896696368, 0.00015259021896696368)",999664449
Ackley,binary,1-point,500,100,0.05,0.8,0.0013710084880824,"(0.00015259021896696368, 0.000457770656900891)",999670184
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[4.303395330406542e-17, -1.878910455270786e-16]",999695655
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[7.221282078985263e-17, -1.9734402523885104e-16]",999697532
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-2.6954641747260243e-16, 2.417263536706055e-16]",999700026
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-1.7840587502201437e-16, 1.2846577013486235e-16]",999701997
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-2.1735899993947744e-16, 2.1469143919927648e-16]",999705263
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-8.821210643827045e-17, 3.637353822775436e-16]",999707359
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[4.973190618325682e-17, -2.360717349349943e-16]",999709550
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-2.8955945330084283e-16, 2.5181299324130245e-16]",999711842
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-1.5191602474437183e-16, 6.906806406427026e-17]",999713915
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[3.639555385766715e-16, -2.580616016532303e-17]",999716055
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[1.7327628772192019e-16, -2.1483708222471426e-16]",999718976
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[7.296714452650172e-17, -9.799485417399534e-17]",999722052
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-1.2871627590264239e-16, 2.1447596734379173e-16]",999724088
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[3.1029414499498945e-16, 1.958689426004036e-16]",999726108
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-1.6582328468860776e-16, 2.0908984884887863e-16]",999728090
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-2.099028732235875e-16, 1.6416027251549719e-16]",999730075
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[2.4467368435942884e-16, 4.1247200883163843e-17]",999732183
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[3.1898193680969657e-18, 2.4221245479884145e-16]",999735290
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-1.8724247087015757e-16, 2.0398499899122647e-16]",999737172
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[2.537090075972629e-16, -6.013761843984441e-17]",999739127
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-1.1883765003536523e-16, 2.2019570316403066e-16]",999741079
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[2.37553982521243e-16, 2.435561672782974e-16]",999743011
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[1.1507535340780174e-16, -1.0623417738369675e-16]",999744919
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-3.0735033431370747e-16, -3.251891472092486e-17]",999746846
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[3.093517908382491e-16, 1.8125882922584142e-16]",999749857
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-3.2775182464751527e-16, -3.5352252969315994e-17]",999751798
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-2.0182454229568953e-16, -2.0555748978495e-17]",999753742
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[1.277596692685806e-16, -3.199137405201083e-16]",999755874
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[2.6943295340047366e-16, 1.8793176319419637e-16]",999757852
Ackley,real,arithmetic,500,100,0.05,0.8,4.440892098500626e-16,"[-2.0073029376535686e-16, -7.626839136074941e-17]",999759829
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999804159
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999806743
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, -7.629510948348184e-05)",999810698
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999813790
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999816852
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999819907
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999823194
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, -7.629510948348184e-05)",999827457
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, -7.629510948348184e-05)",999830507
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999833494
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999836414
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, -7.629510948348184e-05)",999840658
Rastrigin,binary,1-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-0.0002288853284504455, 7.629510948348184e-05)",999843779
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, -7.629510948348184e-05)",999847117
Rastrigin,binary,1-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-0.0002288853284504455, -7.629510948348184e-05)",999850176
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, -7.629510948348184e-05)",999854173
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, -7.629510948348184e-05)",999857415
Rastrigin,binary,1-point,500,100,0.05,0.8,1.1548290006047068e-05,"(7.629510948348184e-05, 0.0002288853284504455)",999860770
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999864846
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, -7.629510948348184e-05)",999868611
Rastrigin,binary,1-point,500,100,0.05,0.8,3.926417662292181e-05,"(-0.0002288853284504455, -0.0003814755474174092)",999872790
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999875878
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999878910
Rastrigin,binary,1-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-7.629510948348184e-05, -0.0002288853284504455)",999882186
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999886974
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, -7.629510948348184e-05)",999890307
Rastrigin,binary,1-point,500,100,0.05,0.8,3.00255449339204e-05,"(-0.0003814755474174092, 7.629510948348184e-05)",999893574
Rastrigin,binary,1-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-7.629510948348184e-05, 0.0002288853284504455)",999896835
Rastrigin,binary,1-point,500,100,0.05,0.8,1.1548290006047068e-05,"(0.0002288853284504455, 7.629510948348184e-05)",999900951
Rastrigin,binary,1-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999904157
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-7.629510948348184e-05, -0.0002288853284504455)",999925768
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, -7.629510948348184e-05)",999928708
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999931365
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-7.629510948348184e-05, -0.0002288853284504455)",999934099
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999937152
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(7.629510948348184e-05, -0.0002288853284504455)",999940210
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, -7.629510948348184e-05)",999943559
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, -7.629510948348184e-05)",999949061
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-7.629510948348184e-05, 0.0002288853284504455)",999953035
Rastrigin,binary,2-point,500,100,0.05,0.8,3.00255449339204e-05,"(7.629510948348184e-05, -0.0003814755474174092)",999955846
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999960812
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(0.0002288853284504455, 7.629510948348184e-05)",999964659
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999967882
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-0.0002288853284504455, 7.629510948348184e-05)",999971400
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-0.0002288853284504455, 7.629510948348184e-05)",999975936
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999979297
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",999982812
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",999986835
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-7.629510948348184e-05, 0.0002288853284504455)",999991345
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(0.0002288853284504455, 7.629510948348184e-05)",999994060
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, -7.629510948348184e-05)",999996597
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(7.629510948348184e-05, -0.0002288853284504455)",999999238
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, -7.629510948348184e-05)",1000002430
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(-7.629510948348184e-05, 7.629510948348184e-05)",1000007580
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",1000010813
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, 7.629510948348184e-05)",1000013575
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(-7.629510948348184e-05, 0.0002288853284504455)",1000016314
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, -7.629510948348184e-05)",1000019993
Rastrigin,binary,2-point,500,100,0.05,0.8,2.30965831704566e-06,"(7.629510948348184e-05, -7.629510948348184e-05)",1000022585
Rastrigin,binary,2-point,500,100,0.05,0.8,1.1548290006047068e-05,"(7.629510948348184e-05, -0.0002288853284504455)",1000025086
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[3.066837547009253e-10, 8.55105559450592e-10]",1000045377
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[2.358287447546815e-10, 3.638901858855175e-10]",1000046182
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[7.106106286332999e-10, 1.6360216682711674e-09]",1000046989
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-1.4155050954764936e-09, -7.381281190595872e-10]",1000047831
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[1.083086653333777e-09, 8.597155427855506e-10]",1000049322
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-6.186607082797556e-10, -1.1704878298618122e-10]",1000050212
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[1.1428587015580653e-09, 5.986442919248156e-10]",1000051077
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-1.4329301858174387e-09, -3.359067684731971e-10]",1000051894
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-1.4996578593503978e-09, -1.5025619518175694e-09]",1000052728
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-6.692211083429505e-10, -3.4502262509822203e-10]",1000053595
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-1.4837618672672386e-09, 8.079282144877318e-10]",1000054427
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-6.875660327572943e-10, 1.575022717950294e-09]",1000055282
Rastrigin,real,arithmetic,500,100,0.05,0.8,2.553771917312985e-05,"[-0.0003477920632912923, 8.811472498827843e-05]",1000056138
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[1.4051937992414245e-09, -1.9525657933703756e-10]",1000056962
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-1.6423358407217395e-10, -1.2942628947567343e-09]",1000057816
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[1.6389243338134474e-09, 1.4603831476960092e-09]",1000058682
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[9.47741689480028e-10, -3.5913001950309758e-12]",1000059532
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-1.7862603538859296e-10, -1.1424485378853963e-09]",1000060393
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-2.806695319136718e-11, 4.6038464071181415e-10]",1000061255
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-1.1887488025883061e-09, 1.4605403701436252e-09]",1000062118
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[2.1475344144705066e-10, 4.5222818908830614e-10]",1000062957
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-4.484865651964962e-10, 6.224578581764637e-10]",1000064627
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-3.0474290532666514e-10, -3.6227161131345256e-10]",1000065673
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[1.5159221928207243e-11, -1.7473296671619272e-10]",1000066541
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[1.1824453113067053e-09, 7.909879753230018e-10]",1000067412
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-1.1749550052703386e-09, -1.1475294514002603e-09]",1000068304
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[9.435829358829885e-10, -1.0834767050008116e-09]",1000069162
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[6.481072088272675e-10, 1.5147108360027296e-09]",1000070038
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-3.510106411607569e-10, 3.509008166245055e-10]",1000070916
Rastrigin,real,arithmetic,500,100,0.05,0.8,0.0,"[-5.535317322323159e-10, -1.4080039241442156e-10]",1000071767
Rastrigin,real,blx-alpha,500,100,0.05,0.8,0.0,"[8.663050966118473e-10, 2.3111639531075738e-10]",1000086638
Rastrigin,real,blx-alpha,500,100,0.05,0.8,0.0,"[7.118852243394883e-10, -1.439209241483016e-09]",1000087549
